[LEXTOKEN] IDENTIFIER -> 'Println' (line 47, pos 813)
[LEXTOKEN] LPAREN -> '(' (line 47, pos 820)
[LEXTOKEN] STRING -> '"Persona activa y mayor de edad."' (line 47, pos 821)
[LEXTOKEN] RPAREN -> ')' (line 47, pos 854)
[LEXTOKEN] RBRACE -> '}' (line 48, pos 857)
[LEXTOKEN] ELSE -> 'else' (line 48, pos 859)
[LEXTOKEN] LBRACE -> '{' (line 48, pos 864)
[LEXTOKEN] IDENTIFIER -> 'fmt' (line 49, pos 868)
[LEXTOKEN] DOT -> '.' (line 49, pos 871)
[LEXTOKEN] IDENTIFIER -> 'Println' (line 49, pos 872)
[LEXTOKEN] LPAREN -> '(' (line 49, pos 879)
[LEXTOKEN] STRING -> '"No cumple los criterios."' (line 49, pos 880)
[LEXTOKEN] RPAREN -> ')' (line 49, pos 906)
[LEXTOKEN] RBRACE -> '}' (line 50, pos 909)
[LEXTOKEN] FOR -> 'for' (line 52, pos 913)
[LEXTOKEN] IDENTIFIER -> 'i' (line 52, pos 917)
[LEXTOKEN] COLON -> ':' (line 52, pos 919)
[LEXTOKEN] ASSIGN -> '=' (line 52, pos 920)
[LEXTOKEN] NUMBER -> '0' (line 52, pos 922)
[LEXTOKEN] SEMICOLON -> ';' (line 52, pos 923)
[LEXTOKEN] IDENTIFIER -> 'i' (line 52, pos 925)
[LEXTOKEN] LT -> '<' (line 52, pos 927)
[LEXTOKEN] IDENTIFIER -> 'len' (line 52, pos 929)
[LEXTOKEN] LPAREN -> '(' (line 52, pos 932)
[LEXTOKEN] IDENTIFIER -> 'numeros' (line 52, pos 933)
[LEXTOKEN] RPAREN -> ')' (line 52, pos 940)
[LEXTOKEN] SEMICOLON -> ';' (line 52, pos 941)
[LEXTOKEN] IDENTIFIER -> 'i' (line 52, pos 943)
[LEXTOKEN] PLUS -> '+' (line 52, pos 944)
[LEXTOKEN] PLUS -> '+' (line 52, pos 945)
[LEXTOKEN] LBRACE -> '{' (line 52, pos 947)
[LEXTOKEN] IDENTIFIER -> 'fmt' (line 53, pos 951)
[LEXTOKEN] DOT -> '.' (line 53, pos 954)
[LEXTOKEN] IDENTIFIER -> 'Printf' (line 53, pos 955)
[LEXTOKEN] LPAREN -> '(' (line 53, pos 961)
[LEXTOKEN] STRING -> '"Número %d: %d
"' (line 53, pos 962)
[LEXTOKEN] COMMA -> ',' (line 53, pos 978)
[LEXTOKEN] IDENTIFIER -> 'i' (line 53, pos 980)
[LEXTOKEN] COMMA -> ',' (line 53, pos 981)
